from,to,distance_km,duration_min
Continental,La Rue,124.48,107.78
Continental,Leipsic,25.23,25.95
Continental,Lima,48.81,50.27
Continental,Marion,149.36,111.78
Continental,Minster,87.63,92.29
Continental,Mount Victory,113.96,100.01
Continental,Nevada,129.66,96.48
Continental,New Bremen,82.72,87.17
Continental,New Knoxville,79.73,84.4
Continental,Ottawa,23.17,23.51
Continental,Ottoville,25.75,26.32
Continental,Pandora,39.26,41.28
Continental,Prospect,174.41,126.07
Continental,Saint Marys,70.65,74.44
Continental,Spencerville,50.27,52.23
Continental,Sycamore,108.77,98.14
Continental,Upper Sandusky,111.01,86.26
Continental,Wapakoneta,71.55,68.35
Continental,Waynesfield,72.17,75.07
Cridersville,Ada,38.76,35.73
Cridersville,Alger,36.16,36.43
Cridersville,Bluffton,39.32,29.81
Cridersville,Cairo,22.97,26.1
Cridersville,Caledonia,139.46,95.99
Cridersville,Carey,93.5,63.76
Cridersville,Columbus Grove,32.72,35.78
Cridersville,Continental,59.48,63.28
Cridersville,Delphos,40.16,37.26
Cridersville,Dunkirk,62.59,46.11
Cridersville,Elida,21.05,24.77
Cridersville,Forest,72.74,52.19
Cridersville,Fort Jennings,46.99,44.71
Cridersville,Glandorf,46.81,48.48
Cridersville,Kalida,40.87,43.68
Cridersville,Kenton,55.56,54.8
Cridersville,La Rue,82.66,81.04
Cridersville,Leipsic,56.21,56.81
Cridersville,Lima,11.88,15.04
Cridersville,Marion,128.88,89.05
Cridersville,Minster,49.49,42.81
Cridersville,Mount Victory,70.31,69.55
Cridersville,Nevada,109.17,73.76
Cridersville,New Bremen,44.17,37.75
Cridersville,New Knoxville,33.66,32.54
Cridersville,Ottawa,43.91,44.3
Cridersville,Ottoville,49.26,43.3
Cridersville,Pandora,43.37,36.24
Cridersville,Prospect,127.73,101.68
Cridersville,Saint Marys,33.59,27.92
Cridersville,Spencerville,24.69,30.89
Cridersville,Sycamore,106.18,76.95
Cridersville,Upper Sandusky,90.52,63.53
Cridersville,Wapakoneta,14.91,15.23
Cridersville,Waynesfield,21.72,27.29
Delphos,Ada,51.03,35.74
Delphos,Alger,59.76,44.88
Delphos,Bluffton,43.75,30.53
Delphos,Cairo,23.5,17.4
Delphos,Caledonia,140.33,91.73
Delphos,Carey,97.94,64.48
Delphos,Columbus Grove,33.25,27.08
Delphos,Continental,34.81,36.13
Delphos,Cridersville,39.94,36.77
Delphos,Dunkirk,63.45,41.85
Delphos,Elida,13.36,14.04
Delphos,Forest,73.61,47.93
Delphos,Fort Jennings,9.33,10.26
Delphos,Glandorf,35.58,36.88
Delphos,Kalida,21.82,22.69
Delphos,Kenton,79.46,58.11
Delphos,La Rue,104.86,80.8
Delphos,Leipsic,56.74,48.11
Delphos,Lima,29.27,23.76
Delphos,Marion,129.74,84.79
Delphos,Minster,53.49,56.95
Delphos,Mount Victory,94.34,73.03
Delphos,Nevada,110.04,69.5
Delphos,New Bremen,48.59,51.83
Delphos,New Knoxville,45.59,49.07
Delphos,Ottawa,44.44,35.6
Delphos,Ottoville,11.65,10.96
Delphos,Pandora,42.34,36.52
Delphos,Prospect,154.78,99.09
Delphos,Saint Marys,36.52,39.11
Delphos,Spencerville,16.14,16.9
Delphos,Sycamore,107.04,72.69
Delphos,Upper Sandusky,91.39,59.27
Delphos,Wapakoneta,37.55,39.91
Delphos,Waynesfield,52.63,48.56
Dunkirk,Ada,17.85,18.74
Dunkirk,Alger,26.58,27.87
Dunkirk,Bluffton,32.17,26.69
Dunkirk,Cairo,43.53,29.21
Dunkirk,Caledonia,86.25,59.4
Dunkirk,Carey,49.33,33.7
Dunkirk,Columbus Grove,48.47,37.09
Dunkirk,Continental,83.27,68.8
Dunkirk,Cridersville,61.07,44.07
Dunkirk,Delphos,63.88,42.25
Dunkirk,Elida,58.11,42.63
Dunkirk,Forest,13.3,14.13
Dunkirk,Fort Jennings,70.7,49.69
Dunkirk,Glandorf,62.81,51.08
Dunkirk,Kalida,64.66,49.2
Dunkirk,Kenton,16.04,16.35
Dunkirk,La Rue,43.27,42.72
Dunkirk,Leipsic,61.43,54.4
Dunkirk,Lima,48.58,35.56
Dunkirk,Marion,75.66,52.46
Dunkirk,Minster,107.01,75.35
Dunkirk,Mount Victory,30.91,31.27
Dunkirk,Nevada,55.96,37.16
Dunkirk,New Bremen,101.69,70.29
Dunkirk,New Knoxville,91.18,65.08
Dunkirk,Ottawa,59.9,46.9
Dunkirk,Ottoville,72.98,48.29
Dunkirk,Pandora,46.55,35.13
Dunkirk,Prospect,70.02,64.92
Dunkirk,Saint Marys,91.11,60.46
Dunkirk,Spencerville,76.34,57.39
Dunkirk,Sycamore,52.97,40.36
Dunkirk,Upper Sandusky,37.31,26.94
Dunkirk,Wapakoneta,72.43,47.77
Dunkirk,Waynesfield,49.74,50.14
Elida,Ada,44.79,35.72
Elida,Alger,37.16,39.09
Elida,Bluffton,37.51,30.5
Elida,Cairo,15.13,17.23
Elida,Caledonia,134.09,91.7
Elida,Carey,91.7,64.45
Elida,Columbus Grove,24.89,26.91
Elida,Continental,49.64,47.81
Elida,Cridersville,21.05,24.93
Elida,Delphos,13.38,14.07
Elida,Dunkirk,57.21,41.82
Elida,Forest,67.37,47.91
Elida,Fort Jennings,21.07,22.15
Elida,Glandorf,38.98,39.61
Elida,Kalida,31.21,32.52
Elida,Kenton,56.56,57.46
Elida,La Rue,98.62,80.77
Elida,Leipsic,48.38,47.94
Elida,Lima,10.55,12.07
Elida,Marion,123.5,84.77
Elida,Minster,67.7,57.58
Elida,Mount Victory,71.31,72.21
Elida,Nevada,103.79,69.47
Elida,New Bremen,62.37,52.52
Elida,New Knoxville,51.86,47.31
Elida,Ottawa,36.08,35.43
Elida,Ottoville,23.99,21.62
Elida,Pandora,33.98,36.34
Elida,Prospect,148.54,99.06
Elida,Saint Marys,51.8,42.68
Elida,Spencerville,19.58,22.8
Elida,Sycamore,100.8,72.66
Elida,Upper Sandusky,85.15,59.25
Elida,Wapakoneta,33.11,30.0
Elida,Waynesfield,33.05,36.92
Forest,Ada,35.97,27.32
Forest,Alger,44.7,36.46
Forest,Bluffton,42.41,33.15
Forest,Cairo,53.77,35.68
Forest,Caledonia,73.3,51.67
Forest,Carey,36.38,25.98
Forest,Columbus Grove,58.72,43.56
Forest,Continental,93.52,75.27
Forest,Cridersville,71.32,50.53
Forest,Delphos,74.12,48.72
Forest,Dunkirk,13.3,14.13
Forest,Elida,68.36,49.09
Forest,Fort Jennings,80.95,56.16
Forest,Glandorf,73.05,57.54
Forest,Kalida,74.91,55.66
Forest,Kenton,19.38,20.12
Forest,La Rue,31.25,32.87
Forest,Leipsic,71.67,60.87
Forest,Lima,58.82,42.02
Forest,Marion,62.71,44.73
Forest,Minster,117.26,81.82
Forest,Mount Victory,34.03,34.79
Forest,Nevada,43.01,29.44
Forest,New Bremen,111.94,76.76
Forest,New Knoxville,101.42,71.55
Forest,Ottawa,70.15,53.37
Forest,Ottoville,83.22,54.76
Forest,Pandora,56.8,41.6
Forest,Prospect,58.01,55.06
Forest,Saint Marys,101.36,66.92
Forest,Spencerville,86.59,63.86
Forest,Sycamore,40.02,32.63
Forest,Upper Sandusky,24.36,19.22
Forest,Wapakoneta,82.68,54.24
Forest,Waynesfield,53.08,53.77
Fort Jennings,Ada,57.86,43.19
Fort Jennings,Alger,66.59,52.32
Fort Jennings,Bluffton,50.58,37.97
Fort Jennings,Cairo,30.33,24.84
Fort Jennings,Caledonia,147.15,99.17
Fort Jennings,Carey,104.76,71.92
Fort Jennings,Columbus Grove,22.91,24.18
Fort Jennings,Continental,25.76,26.77
Fort Jennings,Cridersville,46.76,44.21
Fort Jennings,Delphos,9.33,10.26
Fort Jennings,Dunkirk,70.27,49.29
Fort Jennings,Elida,21.08,22.17
Fort Jennings,Forest,80.43,55.38
Fort Jennings,Glandorf,26.54,27.52
Fort Jennings,Kalida,12.78,13.32
Fort Jennings,Kenton,86.29,65.55
Fort Jennings,La Rue,111.68,88.24
Fort Jennings,Leipsic,39.76,40.6
Fort Jennings,Lima,36.1,31.2
Fort Jennings,Marion,136.57,92.23
Fort Jennings,Minster,62.15,66.41
Fort Jennings,Mount Victory,101.17,80.47
Fort Jennings,Nevada,116.86,76.94
Fort Jennings,New Bremen,57.25,61.29
Fort Jennings,New Knoxville,54.25,58.53
Fort Jennings,Ottawa,27.46,28.09
Fort Jennings,Ottoville,4.71,5.28
Fort Jennings,Pandora,32.0,33.62
Fort Jennings,Prospect,161.61,106.53
Fort Jennings,Saint Marys,45.18,48.57
Fort Jennings,Spencerville,24.8,26.36
Fort Jennings,Sycamore,113.87,80.13
Fort Jennings,Upper Sandusky,98.21,66.72
Fort Jennings,Wapakoneta,58.83,49.28
Fort Jennings,Waynesfield,59.45,56.0
Glandorf,Ada,50.5,45.77
Glandorf,Alger,59.23,54.89
Glandorf,Bluffton,33.05,31.63
Glandorf,Cairo,25.32,23.99
Glandorf,Caledonia,130.96,101.58
Glandorf,Carey,70.07,60.49
Glandorf,Columbus Grove,14.44,14.1
Glandorf,Continental,23.59,24.74
Glandorf,Cridersville,46.84,48.64
Glandorf,Delphos,35.58,36.88
Glandorf,Dunkirk,62.92,51.87
Glandorf,Elida,39.01,39.77
Glandorf,Forest,73.07,57.95
Glandorf,Fort Jennings,26.54,27.52
Glandorf,Kalida,13.76,14.19
Glandorf,Kenton,78.93,68.12
Glandorf,La Rue,104.33,90.82
Glandorf,Leipsic,15.73,17.67
Glandorf,Lima,35.71,35.17
Glandorf,Marion,120.37,94.64
Glandorf,Minster,93.49,81.29
Glandorf,Mount Victory,93.81,83.05
Glandorf,Nevada,100.67,79.34
Glandorf,New Bremen,88.17,76.23
Glandorf,New Knoxville,77.65,71.02
Glandorf,Ottawa,3.43,5.16
Glandorf,Ottoville,27.44,27.83
Glandorf,Pandora,19.52,22.93
Glandorf,Prospect,145.41,108.93
Glandorf,Saint Marys,77.59,66.39
Glandorf,Spencerville,51.05,52.98
Glandorf,Sycamore,89.04,79.78
Glandorf,Upper Sandusky,90.85,69.29
Glandorf,Wapakoneta,58.91,53.71
Glandorf,Waynesfield,59.06,59.97
Kalida,Ada,52.05,43.13
Kalida,Alger,60.77,52.26
Kalida,Bluffton,44.77,37.91
Kalida,Cairo,23.2,24.3
Kalida,Caledonia,141.34,99.11
Kalida,Carey,81.32,70.1
Kalida,Columbus Grove,21.81,22.78
Kalida,Continental,18.61,19.6
Kalida,Cridersville,40.87,43.68
Kalida,Delphos,21.82,22.69
Kalida,Dunkirk,64.46,49.23
Kalida,Elida,31.21,32.52
Kalida,Forest,74.62,55.32
Kalida,Fort Jennings,12.78,13.32
Kalida,Glandorf,13.76,14.19
Kalida,Kenton,80.48,65.49
Kalida,La Rue,105.87,88.18
Kalida,Leipsic,26.99,27.28
Kalida,Lima,30.2,30.67
Kalida,Marion,130.75,92.18
Kalida,Minster,87.52,76.33
Kalida,Mount Victory,95.35,80.41
Kalida,Nevada,111.05,76.88
Kalida,New Bremen,82.2,71.27
Kalida,New Knoxville,71.68,66.06
Kalida,Ottawa,14.68,14.77
Kalida,Ottoville,13.68,13.63
Kalida,Pandora,30.9,32.21
Kalida,Prospect,155.79,106.47
Kalida,Saint Marys,57.67,61.0
Kalida,Spencerville,37.29,38.79
Kalida,Sycamore,108.06,80.07
Kalida,Upper Sandusky,92.4,66.66
Kalida,Wapakoneta,52.93,48.75
Kalida,Waynesfield,53.56,55.47
Kenton,Ada,24.99,24.45
Kenton,Alger,25.59,25.33
Kenton,Bluffton,48.18,42.95
Kenton,Cairo,59.54,45.47
Kenton,Caledonia,57.86,56.63
Kenton,Carey,55.46,45.61
Kenton,Columbus Grove,64.49,53.35
Kenton,Continental,99.29,85.06
Kenton,Cridersville,55.66,54.52
Kenton,Delphos,79.89,58.51
Kenton,Dunkirk,16.04,16.35
Kenton,Elida,56.57,57.32
Kenton,Forest,19.38,20.12
Kenton,Fort Jennings,86.72,65.95
Kenton,Glandorf,78.82,67.33
Kenton,Kalida,80.68,65.45
Kenton,La Rue,27.23,26.51
Kenton,Leipsic,77.44,70.66
Kenton,Lima,45.06,46.32
Kenton,Marion,43.72,42.12
Kenton,Minster,86.0,78.94
Kenton,Mount Victory,14.88,15.02
Kenton,Nevada,62.09,49.07
Kenton,New Bremen,81.01,73.71
Kenton,New Knoxville,73.19,69.14
Kenton,Ottawa,75.92,63.16
Kenton,Ottoville,88.99,64.55
Kenton,Pandora,62.57,51.39
Kenton,Prospect,53.99,48.7
Kenton,Saint Marys,73.13,64.52
Kenton,Spencerville,66.98,69.61
Kenton,Sycamore,59.1,52.26
Kenton,Upper Sandusky,43.44,38.85
Kenton,Wapakoneta,56.31,52.94
Kenton,Waynesfield,33.7,33.8
La Rue,Ada,52.09,50.69
La Rue,Alger,52.69,51.56
La Rue,Bluffton,73.67,66.02
La Rue,Cairo,85.03,68.55
La Rue,Caledonia,39.92,40.17
La Rue,Carey,52.66,50.21
La Rue,Columbus Grove,89.97,76.42
La Rue,Continental,124.77,108.13
La Rue,Cridersville,82.76,80.76
La Rue,Delphos,105.37,81.58
La Rue,Dunkirk,43.27,42.72
La Rue,Elida,99.61,81.96
La Rue,Forest,31.25,32.87
La Rue,Fort Jennings,112.2,89.03
La Rue,Glandorf,104.31,90.41
La Rue,Kalida,106.16,88.53
La Rue,Kenton,27.23,26.51
La Rue,Leipsic,102.92,93.73
La Rue,Lima,72.16,72.56
La Rue,Marion,24.81,25.18
La Rue,Minster,113.1,105.17
La Rue,Mount Victory,14.81,30.79
La Rue,Nevada,46.12,46.72
La Rue,New Bremen,108.11,99.94
La Rue,New Knoxville,100.29,95.38
La Rue,Ottawa,101.4,86.23
La Rue,Ottoville,114.47,87.62
La Rue,Pandora,88.05,74.46
La Rue,Prospect,28.56,25.93
La Rue,Saint Marys,100.22,90.75
La Rue,Spencerville,94.07,95.84
La Rue,Sycamore,50.88,52.56
La Rue,Upper Sandusky,33.19,34.57
La Rue,Wapakoneta,83.41,79.18
La Rue,Waynesfield,60.8,60.03
Leipsic,Ada,48.76,48.2
Leipsic,Alger,57.49,57.33
Leipsic,Bluffton,30.69,29.78
Leipsic,Cairo,34.72,32.32
Leipsic,Caledonia,125.78,96.62
Leipsic,Carey,64.88,55.53
Leipsic,Columbus Grove,23.84,22.43
Leipsic,Continental,25.23,25.95
Leipsic,Cridersville,61.36,56.94
Leipsic,Delphos,56.61,47.98
Leipsic,Dunkirk,61.17,54.3
Leipsic,Elida,48.4,48.1
Leipsic,Forest,71.33,60.38
Leipsic,Fort Jennings,39.76,40.6
Leipsic,Glandorf,15.73,17.67
Leipsic,Kalida,26.99,27.28
Leipsic,Kenton,77.19,70.55
Leipsic,La Rue,102.58,93.25
Leipsic,Lima,45.1,43.5
Leipsic,Marion,115.19,89.68
Leipsic,Minster,107.3,88.23
Leipsic,Mount Victory,92.06,85.48
Leipsic,Nevada,95.49,74.39
Leipsic,New Bremen,101.98,83.17
Leipsic,New Knoxville,91.47,77.96
Leipsic,Ottawa,12.83,13.49
Leipsic,Ottoville,40.67,40.91
Leipsic,Pandora,18.52,21.9
Leipsic,Prospect,140.23,103.97
Leipsic,Saint Marys,91.4,73.34
Leipsic,Spencerville,69.08,63.12
Leipsic,Sycamore,83.85,74.83
Leipsic,Upper Sandusky,81.36,65.79
Leipsic,Wapakoneta,72.72,60.65
Leipsic,Waynesfield,67.77,65.35
Lima,Ada,26.28,26.32
Lima,Alger,25.64,28.07
Lima,Bluffton,26.86,21.1
Lima,Cairo,11.65,12.31
Lima,Caledonia,127.0,87.28
Lima,Carey,81.04,55.05
Lima,Columbus Grove,21.4,22.0
Lima,Continental,48.63,49.95
Lima,Cridersville,11.81,14.94
Lima,Delphos,29.31,23.93
Lima,Dunkirk,50.13,37.39
Lima,Elida,10.54,11.89
Lima,Forest,60.28,43.48
Lima,Fort Jennings,36.13,31.38
Lima,Glandorf,35.49,34.69
Lima,Kalida,30.02,30.35
Lima,Kenton,45.04,46.44
Lima,La Rue,72.14,72.67
Lima,Leipsic,44.89,43.02
Lima,Marion,116.42,80.34
Lima,Minster,60.05,47.45
Lima,Mount Victory,59.79,61.18
Lima,Nevada,96.71,65.05
Lima,New Bremen,54.73,42.39
Lima,New Knoxville,44.21,37.18
Lima,Ottawa,32.59,30.52
Lima,Ottoville,38.41,29.98
Lima,Pandora,30.91,27.53
Lima,Prospect,141.46,94.63
Lima,Saint Marys,44.15,32.55
Lima,Spencerville,22.81,24.49
Lima,Sycamore,93.72,68.24
Lima,Upper Sandusky,78.06,54.82
Lima,Wapakoneta,25.47,19.87
Lima,Waynesfield,22.59,25.21
Marion,Ada,91.69,63.48
Marion,Alger,68.17,65.53
Marion,Bluffton,98.14,69.31
Marion,Cairo,109.49,71.84
Marion,Caledonia,15.56,15.84
Marion,Carey,54.16,38.88
Marion,Columbus Grove,114.44,79.71
Marion,Continental,149.24,111.42
Marion,Cridersville,127.04,86.69
Marion,Delphos,129.84,84.87
Marion,Dunkirk,75.88,52.52
Marion,Elida,124.08,85.25
Marion,Forest,62.97,44.98
Marion,Fort Jennings,136.67,92.31
Marion,Glandorf,128.78,93.7
Marion,Kalida,130.63,91.82
Marion,Kenton,42.71,40.47
Marion,La Rue,24.7,24.67
Marion,Leipsic,114.65,89.1
Marion,Lima,114.55,78.18
Marion,Minster,144.07,116.43
Marion,Mount Victory,44.31,43.57
Marion,Nevada,29.04,28.45
Marion,New Bremen,139.08,111.21
Marion,New Knoxville,157.14,107.7
Marion,Ottawa,116.41,88.95
Marion,Ottoville,138.94,90.91
Marion,Pandora,112.52,77.75
Marion,Prospect,16.8,15.73
Marion,Saint Marys,157.08,103.08
Marion,Spencerville,142.31,100.01
Marion,Sycamore,51.19,41.73
Marion,Upper Sandusky,33.04,27.38
Marion,Wapakoneta,138.4,90.4
Marion,Waynesfield,76.27,74.0
Minster,Ada,84.84,67.17
Minster,Alger,82.24,67.87
Minster,Bluffton,85.4,61.26
