,f_1,f_2,f_3,f_4
3000,402.0,2.0,746.0,0.521336358234754
3001,441.0,10.0,1506.95,0.5997497254181746
3002,402.0,2.0,746.0,0.521336358234754
3003,434.0,4.0,1009.4,0.6186193485658726
3004,402.0,4.0,835.45,0.6377410468319559
3005,400.0,0.0,671.75,0.4192279299231171
3006,441.0,10.0,1506.95,0.5997497254181746
3007,400.0,0.0,671.75,0.4192279299231171
3008,434.0,4.0,1009.4,0.6186193485658726
3009,402.0,4.0,835.45,0.6377410468319559
3010,402.0,4.0,835.45,0.6377410468319559
3011,441.0,10.0,1506.95,0.5997497254181746
3012,402.0,4.0,835.45,0.6377410468319559
3013,402.0,4.0,835.45,0.6377410468319559
3014,402.0,4.0,835.45,0.6377410468319559
3015,402.0,4.0,835.45,0.6377410468319559
3016,441.0,10.0,1506.95,0.5997497254181746
3017,402.0,4.0,835.45,0.6377410468319559
3018,402.0,4.0,835.45,0.6377410468319559
3019,402.0,4.0,835.45,0.6377410468319559
3020,402.0,4.0,835.45,0.6377410468319559
3021,441.0,10.0,1506.95,0.5997497254181746
3022,402.0,4.0,835.45,0.6377410468319559
3023,402.0,4.0,835.45,0.6377410468319559
3024,402.0,4.0,835.45,0.6377410468319559
3025,402.0,4.0,835.45,0.6377410468319559
3026,441.0,10.0,1506.95,0.5997497254181746
3027,402.0,4.0,835.45,0.6377410468319559
3028,403.0,4.0,839.35,0.6377410468319559
3029,402.0,4.0,835.45,0.6377410468319559
3030,431.0,3.0,921.65,0.6186193485658726
3031,441.0,10.0,1506.95,0.5997497254181746
3032,431.0,3.0,921.65,0.6186193485658726
3033,434.0,4.0,1009.4,0.6186193485658726
3034,402.0,4.0,835.45,0.6377410468319559
3035,431.0,3.0,921.65,0.6186193485658726
3036,441.0,10.0,1506.95,0.5997497254181746
3037,431.0,3.0,921.65,0.6186193485658726
3038,434.0,4.0,1009.4,0.6186193485658726
3039,402.0,4.0,835.45,0.6377410468319559
3040,118.0,4.0,499.05,0.6377410468319559
3041,437.0,6.0,1173.3,0.6377410468319559
3042,118.0,4.0,499.05,0.6377410468319559
3043,402.0,4.0,835.45,0.6377410468319559
3044,402.0,4.0,835.45,0.6377410468319559
3045,170.0,2.0,415.7,0.5388555789625308
3046,424.0,2.0,839.65,0.5720664758097913
3047,170.0,2.0,415.7,0.5388555789625308
3048,260.0,4.0,667.25,0.6377410468319559
3049,402.0,4.0,835.45,0.6377410468319559
3050,223.0,1.0,328.3,0.3978285529087668
3051,400.0,0.0,671.75,0.4192279299231171
3052,223.0,1.0,328.3,0.3978285529087668
3053,242.0,1.0,427.95,0.5165109202542357
3054,402.0,4.0,835.45,0.6377410468319559
3055,213.0,0.0,252.3,0.34227299735321126
3056,370.0,0.0,504.25,0.4192279299231171
3057,213.0,0.0,252.3,0.34227299735321126
3058,284.0,0.0,336.4,0.34227299735321126
3059,402.0,4.0,835.45,0.6377410468319559
3060,213.0,0.0,252.3,0.34227299735321126
3061,370.0,0.0,504.25,0.4192279299231171
3062,213.0,0.0,252.3,0.34227299735321126
3063,284.0,0.0,336.4,0.34227299735321126
3064,402.0,4.0,835.45,0.6377410468319559
3065,213.0,0.0,252.3,0.34227299735321126
3066,370.0,0.0,504.25,0.4192279299231171
3067,213.0,0.0,252.3,0.34227299735321126
3068,284.0,0.0,336.4,0.34227299735321126
3069,402.0,4.0,835.45,0.6377410468319559
3070,402.0,4.0,835.45,0.6377410468319559
3071,441.0,10.0,1506.95,0.5997497254181746
3072,402.0,4.0,835.45,0.6377410468319559
3073,402.0,4.0,835.45,0.6377410468319559
3074,402.0,4.0,835.45,0.6377410468319559
3075,188.0,3.0,501.85,0.6186193485658726
3076,394.0,2.0,672.15,0.5720664758097913
3077,188.0,3.0,501.85,0.6186193485658726
3078,331.0,4.0,751.35,0.6377410468319559
3079,402.0,4.0,835.45,0.6377410468319559
3080,242.0,1.0,427.95,0.5165109202542357
3081,369.0,1.0,512.4,0.4395559876843299
3082,242.0,1.0,427.95,0.5165109202542357
3083,252.0,2.0,503.95,0.5720664758097913
3084,402.0,4.0,835.45,0.6377410468319559
3085,284.0,0.0,336.4,0.34227299735321126
3086,284.0,0.0,336.4,0.34227299735321126
3087,284.0,0.0,336.4,0.34227299735321126
3088,294.0,1.0,412.4,0.3978285529087668
3089,402.0,4.0,835.45,0.6377410468319559
3090,284.0,0.0,336.4,0.34227299735321126
3091,284.0,0.0,336.4,0.34227299735321126
3092,284.0,0.0,336.4,0.34227299735321126
3093,284.0,0.0,336.4,0.34227299735321126
3094,402.0,4.0,835.45,0.6377410468319559
3095,284.0,0.0,336.4,0.34227299735321126
3096,284.0,0.0,336.4,0.34227299735321126
3097,284.0,0.0,336.4,0.34227299735321126
3098,284.0,0.0,336.4,0.34227299735321126
3099,402.0,4.0,835.45,0.6377410468319559
3100,402.0,4.0,835.45,0.6377410468319559
3101,433.0,4.0,1006.85,0.6377410468319559
3102,402.0,4.0,835.45,0.6377410468319559
3103,402.0,4.0,835.45,0.6377410468319559
3104,402.0,4.0,835.45,0.6377410468319559
3105,402.0,4.0,835.45,0.6377410468319559
3106,431.0,3.0,921.65,0.6186193485658726
3107,402.0,4.0,835.45,0.6377410468319559
3108,402.0,4.0,835.45,0.6377410468319559
3109,402.0,4.0,835.45,0.6377410468319559
3110,259.0,3.0,585.95,0.6186193485658726
3111,323.0,2.0,588.05,0.5720664758097913
3112,259.0,3.0,585.95,0.6186193485658726
3113,259.0,3.0,585.95,0.6186193485658726
3114,402.0,4.0,835.45,0.6377410468319559
3115,309.0,1.0,496.15,0.47478348547867266
3116,385.0,0.0,588.0,0.4192279299231171
3117,309.0,1.0,496.15,0.47478348547867266
3118,313.0,1.0,512.05,0.5165109202542357
3119,402.0,4.0,835.45,0.6377410468319559
3120,355.0,0.0,420.5,0.34227299735321126
3121,414.0,1.0,763.65,0.5165109202542357
3122,355.0,0.0,420.5,0.34227299735321126
3123,370.0,0.0,504.25,0.4192279299231171
3124,402.0,4.0,835.45,0.6377410468319559
3125,355.0,0.0,420.5,0.34227299735321126
3126,414.0,1.0,763.65,0.5165109202542357
3127,355.0,0.0,420.5,0.34227299735321126
3128,365.0,1.0,496.5,0.3978285529087668
3129,402.0,4.0,835.45,0.6377410468319559
3130,402.0,4.0,835.45,0.6377410468319559
3131,402.0,4.0,835.45,0.6377410468319559
3132,402.0,4.0,835.45,0.6377410468319559
3133,402.0,4.0,835.45,0.6377410468319559
3134,402.0,4.0,835.45,0.6377410468319559
3135,402.0,4.0,835.45,0.6377410468319559
3136,402.0,4.0,835.45,0.6377410468319559
3137,402.0,4.0,835.45,0.6377410468319559
3138,402.0,4.0,835.45,0.6377410468319559
3139,402.0,4.0,835.45,0.6377410468319559
3140,402.0,4.0,835.45,0.6377410468319559
3141,416.0,3.0,837.9,0.6186193485658726
3142,402.0,4.0,835.45,0.6377410468319559
3143,402.0,4.0,835.45,0.6377410468319559
3144,402.0,4.0,835.45,0.6377410468319559
3145,338.0,2.0,671.8,0.5720664758097913
3146,436.0,5.0,1094.6,0.6377410468319559
3147,338.0,2.0,671.8,0.5720664758097913
3148,401.0,3.0,754.15,0.6186193485658726
3149,402.0,4.0,835.45,0.6377410468319559
3150,369.0,1.0,512.4,0.4395559876843299
3151,441.0,10.0,1506.95,0.5997497254181746
3152,369.0,1.0,512.4,0.4395559876843299
3153,409.0,2.0,755.9,0.5720664758097913
3154,402.0,4.0,835.45,0.6377410468319559
3155,370.0,0.0,504.25,0.4192279299231171
3156,441.0,10.0,1506.95,0.5997497254181746
3157,370.0,0.0,504.25,0.4192279299231171
3158,414.0,1.0,763.65,0.5165109202542357
3159,402.0,4.0,835.45,0.6377410468319559
3160,402.0,4.0,835.45,0.6377410468319559
3161,441.0,10.0,1506.95,0.5997497254181746
3162,402.0,4.0,835.45,0.6377410468319559
3163,402.0,4.0,835.45,0.6377410468319559
3164,402.0,4.0,835.45,0.6377410468319559
3165,402.0,4.0,835.45,0.6377410468319559
3166,441.0,10.0,1506.95,0.5997497254181746
3167,402.0,4.0,835.45,0.6377410468319559
3168,402.0,4.0,835.45,0.6377410468319559
3169,402.0,4.0,835.45,0.6377410468319559
3170,402.0,4.0,835.45,0.6377410468319559
