city,Ada,Alger,Bluffton,Cairo,Caledonia,Carey,Columbus Grove,Continental,Cridersville,Delphos,Dunkirk,Elida,Forest,Fort Jennings,Glandorf,Kalida,Kenton,La Rue,Leipsic,Lima,Marion,Minster,Mount Victory,Nevada,New Bremen,New Knoxville,Ottawa,Ottoville,Pandora,Prospect,Saint Marys,Spencerville,Sycamore,Upper Sandusky,Wapakoneta,Waynesfield,Bellefontaine,West Liberty,Russells Point,De Graff,Lakeview,Belle Center,Quincy,Marysville,Plain City,Richwood,Milford Center,Findlay,Fostoria,McComb,Arlington,Rawson,Arcadia
Saint Marys,42.22,40.2,44.47,32.84,104.59,76.51,38.93,44.68,20.88,24.85,56.95,31.45,63.05,28.62,47.76,36.72,45.04,61.3,56.82,26.75,96.87,11.64,50.08,85.92,8.8,5.92,46.01,30.6,45.19,83.1,0.0,13.21,84.15,75.31,12.08,24.9,41.19,48.99,30.32,41.51,28.01,37.24,39.71,65.28,79.22,67.31,67.36,60.49,76.22,61.17,54.53,50.21,68.57
Spencerville,30.61,29.28,32.88,22.43,95.06,64.92,28.52,31.67,18.46,11.85,47.42,12.54,53.52,15.62,31.87,23.71,41.03,58.47,46.96,13.7,87.34,23.25,50.77,76.39,20.42,18.78,35.6,17.59,33.59,104.19,13.21,0.0,74.62,65.78,15.59,26.0,46.37,54.16,35.49,47.04,33.19,41.1,45.25,70.45,84.39,68.27,72.53,48.9,64.63,49.57,49.52,38.62,56.97
Sycamore,43.17,48.2,46.16,54.0,38.85,11.83,57.25,67.85,65.56,68.64,33.28,62.87,25.05,71.05,55.31,67.69,37.74,31.9,52.59,61.4,31.12,93.26,46.16,11.41,90.43,83.43,64.33,72.57,47.96,47.98,82.59,74.57,0.0,12.34,72.04,62.65,58.33,66.13,62.16,69.48,68.25,51.03,72.74,59.94,72.18,47.38,66.01,28.94,21.39,41.2,35.07,38.36,25.5
Upper Sandusky,34.52,39.55,37.51,45.35,28.19,15.22,48.6,70.43,56.91,59.98,24.62,54.21,16.39,62.39,57.43,59.03,25.9,21.8,52.9,52.74,20.46,84.61,34.31,9.51,81.77,74.78,55.67,63.92,45.69,37.31,73.94,65.92,13.14,0.0,63.38,54.0,46.48,54.28,50.31,57.63,59.6,39.18,60.9,49.28,61.52,36.72,55.35,29.25,30.48,41.51,26.41,37.24,34.99
Wapakoneta,31.5,29.48,33.75,22.12,93.87,65.79,28.21,45.19,10.16,25.48,46.23,20.74,52.33,29.24,37.05,33.8,35.06,51.32,46.1,16.03,86.15,23.87,40.1,75.2,21.03,11.07,35.29,38.73,34.47,73.12,11.3,15.59,73.43,64.59,0.0,14.93,31.22,39.01,20.34,31.89,18.04,27.27,30.1,55.3,69.24,57.33,57.38,49.77,65.5,50.45,43.81,39.49,57.85
Waynesfield,19.8,16.74,30.29,21.13,56.83,62.33,27.21,44.49,12.64,34.09,30.88,20.24,33.44,36.5,36.05,33.09,21.64,37.89,42.63,15.53,48.01,35.6,29.41,64.52,32.76,25.76,34.29,38.03,31.0,64.43,24.91,26.0,62.75,53.91,14.93,0.0,22.52,30.32,11.64,22.34,9.35,16.8,25.61,46.61,60.55,46.91,48.69,46.3,62.04,46.98,37.65,36.03,54.39
Bellefontaine,31.27,26.22,40.59,41.95,69.03,56.24,48.04,65.32,38.83,54.92,31.22,41.07,33.77,57.33,56.88,53.92,21.97,31.1,60.16,36.36,45.29,39.85,20.24,60.02,37.02,37.15,55.12,58.86,51.83,33.93,41.57,46.73,58.25,49.42,31.58,22.89,0.0,8.41,11.6,11.76,13.76,10.64,15.04,26.27,40.2,27.45,28.35,49.18,64.92,56.03,38.66,45.14,57.27
West Liberty,39.06,34.01,48.39,49.75,70.75,64.03,55.84,73.12,46.62,62.71,39.01,48.86,41.56,65.13,64.67,61.71,29.76,36.98,67.96,44.15,57.16,41.35,26.63,67.82,44.81,44.94,62.91,66.65,59.63,45.81,49.36,54.53,66.05,57.21,39.37,30.68,8.41,0.0,19.39,11.03,21.56,18.43,13.78,27.99,41.93,32.17,21.67,56.97,72.71,63.82,46.45,52.93,65.06
Russells Point,27.1,22.05,41.93,34.56,78.08,60.06,40.65,57.92,27.59,47.53,35.04,38.16,37.59,49.94,49.49,46.53,25.79,42.05,54.28,33.46,52.17,30.4,24.07,63.84,27.56,25.46,47.73,51.46,42.64,53.15,30.33,35.49,62.07,53.24,20.34,11.64,11.24,19.03,0.0,11.6,2.52,9.49,14.87,35.32,49.26,37.36,37.41,57.95,73.68,51.86,44.91,40.97,66.03
De Graff,38.64,33.6,62.66,51.02,79.01,67.36,57.11,74.1,39.07,63.7,42.33,49.64,44.88,66.11,65.95,62.7,33.09,42.58,75.0,44.93,65.42,30.35,31.36,71.14,32.12,33.22,64.19,67.64,63.37,54.07,41.61,46.99,69.38,60.53,31.84,22.34,11.74,11.03,11.6,0.0,13.02,21.75,3.73,36.25,50.19,38.93,38.33,62.88,78.62,63.41,49.77,52.51,70.97
